Title,Company,Location,Experience,Summary,Skills,Cluster
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,analytical and problem solving,api,data analysis,database,design,effective communication skills,graphql,large language models - llms,next.js,python programming,react.js,teamwork,typescript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,api,data science techniques,design,effective communication skills,large language models - llms,python programming,teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,api,data science techniques,design,effective communication skills,large language models - llms,python programming,teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India",6-8 year,"We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible.As a Lead AI/ML Engineer within our Asset and Wealth management, you...","aartificial intelligence,data science techniques,large language models - llms,machine learning techniques,natural language processing (nlp),python programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India",12-14 year,"Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions.As a Director of...","aartificial intelligence,aws,azure,google cloud platform (gcp),kubernetes-k8s,large language models - llms,machine learning techniques",0
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","design,leadership skill,machine learning techniques",3
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","aartificial intelligence,large language models - llms,machine learning techniques,natural language processing (nlp)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India",6-8 year,We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,"amazon redshift,apache hadoop,data science techniques,google bigquery,google cloud platform (gcp),python programming,r programming,sql",0
ML Engineer,"CBRE Group, Inc.","Hyderabad, Telangana, India; Gurgaon, Haryana, India; Noida, Uttar Pradesh, India",2-4 year,"As a CBRE Data Scientist, you will optimize effectiveness and predict outcomes through business, operations, customer, and economic data in order to develop business intelligence.This job...","algorithms,employee life cycle,kubernetes-k8s,large language models - llms,machine learning techniques,mlops tools,optimization",4
AI Solutions Engineer,Thomson Reuters Corporation,"Hyderabad, Telangana, India",2-4 year,About the Role​Familiarizing and adopting work methodology aligning with the existing ACoE organization.Contributing to the Solutioning/POCs for key initiatives already...,"aartificial intelligence,aws,javascript,microsoft office suites,natural language processing (nlp),python programming,typescript",2
"Staff Software Engineer - Monetization, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,analytical and problem solving,api,data analysis,database,design,effective communication skills,graphql,large language models - llms,next.js,python programming,react.js,teamwork,typescript",1
"Staff Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,8-10 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,api,data science techniques,design,effective communication skills,large language models - llms,python programming,teamwork",1
"Senior Backend Engineer - Bot Creator Ecosystem, Poe (Remote)","Quora, Inc.",India,6-8 year,"About Quora:Quora’s mission is to grow and share the world’s knowledge. To do so, we have two knowledge sharing products:Quora: a global knowledge sharing platform with over...","aartificial intelligence,api,data science techniques,design,effective communication skills,large language models - llms,python programming,teamwork",1
Data Scientist Lead - AIML,JPMorgan Chase,"Bengaluru, Karnataka, India",6-8 year,"We have an opportunity to impact your career and provide an adventure where you can push the limits of what's possible.As a Lead AI/ML Engineer within our Asset and Wealth management, you...","aartificial intelligence,data science techniques,large language models - llms,machine learning techniques,natural language processing (nlp),python programming",2
Applied AI ML Director - Machine Learning,JPMorgan Chase,"Hyderabad, Telangana, India",12-14 year,"Elevate your career as the Director of Machine Learning Engineering, where your technical expertise and visionary leadership will shape the future of AI and ML solutions.As a Director of...","aartificial intelligence,aws,azure,google cloud platform (gcp),kubernetes-k8s,large language models - llms,machine learning techniques",0
Senior Product Designer,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","design,leadership skill,machine learning techniques",3
Manager - Machine Learning,Observe.AI,"Bangalore, Karnataka, India",8-10 year,"Observe.AI is transforming customer service with AI agents that speak, think, and act like your best human agents—helping enterprises automate routine customer calls and workflows, support...","aartificial intelligence,large language models - llms,machine learning techniques,natural language processing (nlp)",2
Data Scientist,Spotify,"Mumbai, Maharashtra, India",6-8 year,We are looking for a Data Scientist to join the Business Analytics team at Spotify. You will work with the Regional Analytics Lead to evaluate and influence our growth strategy in India’s...,"amazon redshift,apache hadoop,data science techniques,google bigquery,google cloud platform (gcp),python programming,r programming,sql",0
ML Engineer,"CBRE Group, Inc.","Hyderabad, Telangana, India; Gurgaon, Haryana, India; Noida, Uttar Pradesh, India",2-4 year,"As a CBRE Data Scientist, you will optimize effectiveness and predict outcomes through business, operations, customer, and economic data in order to develop business intelligence.This job...","algorithms,employee life cycle,kubernetes-k8s,large language models - llms,machine learning techniques,mlops tools,optimization",4
AI Solutions Engineer,Thomson Reuters Corporation,"Hyderabad, Telangana, India",2-4 year,About the Role​Familiarizing and adopting work methodology aligning with the existing ACoE organization.Contributing to the Solutioning/POCs for key initiatives already...,"aartificial intelligence,aws,javascript,microsoft office suites,natural language processing (nlp),python programming,typescript",2
